stage,epoch,train_loss,val_joint,val_iou,val_mae
A,1,1.6430258294567466,1.302411686629057,0.0,0.0
A,2,1.1205919100902975,0.835289454087615,0.0,0.0
A,3,0.8914537269156426,0.8163857823237777,0.0,0.0
A,4,0.8259691735729575,0.803586745634675,0.0,0.0
A,5,0.8038170770741999,0.7924497239291668,0.0,0.0
A,6,0.8066361972596496,0.7702456898987293,0.0,0.0
A,7,0.7917435141280293,0.7505629220977426,0.0,0.0
A,8,0.7802787278778851,0.7467064904049039,0.0,0.0
A,9,0.7638731305487454,0.7291343212127686,0.0,0.0
A,10,0.7731692339293659,0.7192649282515049,0.0,0.0
A,11,0.7450154013931751,0.6923802196979523,0.0,0.0
A,12,0.7522325501777232,0.70091462880373,0.0,0.0
A,13,0.7173318434506655,0.6980935260653496,0.0,0.0
A,14,0.740562874590978,0.6867417171597481,0.0,0.0
A,15,0.7492529833689332,0.6810607565566897,0.0,0.0
A,16,0.7233127763029188,0.6851012893021107,0.0,0.0
A,17,0.7108933022245765,0.659909013658762,0.0,0.0
A,18,0.7115464857779443,0.6857123645022511,0.0,0.0
A,19,0.7220640953164548,0.666051497682929,0.0,0.0
A,20,0.7320114139001817,0.6695879818871617,0.0,0.0
A,21,0.7184651230927557,0.6660525863990188,0.0,0.0
A,22,0.7086553417611867,0.6673550698906183,0.0,0.0
A,23,0.7226248949300498,0.6592369535937905,0.0,0.0
A,24,0.6818872827570885,0.6749649159610271,0.0,0.0
A,25,0.7089984947815537,0.6591329565271735,0.0,0.0
A,26,0.7127418187446892,0.6748423241078854,0.0,0.0
A,27,0.7022007401101291,0.6723751062527299,0.0,0.0
A,28,0.6991398627869785,0.6608140794560313,0.0,0.0
A,29,0.6955465525388718,0.6690352112054825,0.0,0.0
A,30,0.7011379438918084,0.6591904396191239,0.0,0.0
A,31,0.682645418215543,0.662406824529171,0.0,0.0
A,32,0.7032816833816469,0.676895696669817,0.0,0.0
A,33,0.7122134645469487,0.6484517874196172,0.0,0.0
A,34,0.7170426971279085,0.6764850299805403,0.0,0.0
A,35,0.6846941213589162,0.6777781741693616,0.0,0.0
A,36,0.6963771432638168,0.6774095995351672,0.0,0.0
A,37,0.6843144833110273,0.6673646410927176,0.0,0.0
A,38,0.6985547752119601,0.6901676543056965,0.0,0.0
A,39,0.6788045424036682,0.6585562992841005,0.0,0.0
A,40,0.6808696107473224,0.6666518412530422,0.0,0.0
A,41,0.6993833146989346,0.6596612175926566,0.0,0.0
A,42,0.6813007206656039,0.67349449172616,0.0,0.0
A,43,0.6866469639353454,0.6785815609619021,0.0,0.0
A,44,0.6751097000669688,0.6684695575386286,0.0,0.0
A,45,0.7008628747425973,0.6962036360055208,0.0,0.0
A,46,0.6702519259415567,0.65500083938241,0.0,0.0
A,47,0.671872946433723,0.6886105164885521,0.0,0.0
A,48,0.684678906807676,0.6635518530383706,0.0,0.0
A,49,0.6528612733818591,0.6884072991088033,0.0,0.0
A,50,0.6906697296071798,0.6797485034912825,0.0,0.0
