stage,epoch,train_loss,val_joint,val_iou,val_mae
B,1,0.6477608921491168,0.5878291165650781,0.6697659322226907,173.6225197255908
B,2,0.5568752036559002,0.5692711361308596,0.6702976276065273,172.92512170592352
B,3,0.5525896381796076,0.5680212089374884,0.670635346846199,175.84160253420396
B,4,0.5456892452603869,0.6347655046786835,0.6680958672331225,188.49050523748446
B,5,0.5453259899151905,0.5652124347971447,0.667971990002893,173.71598914606656
B,6,0.5398384031843156,0.5667422151387628,0.668478024828044,187.58926194224193
B,7,0.5439635188168801,0.5646725136842301,0.6588554696345008,166.9940823227612
B,8,0.5413537764370665,0.564295560566347,0.6695740814812343,175.04358578202738
B,9,0.5398514444908399,0.5746486493900641,0.6681087658854893,187.99948985541045
B,10,0.5398748110184509,0.5625050379269159,0.6698879073361381,187.17828946089864
B,11,0.5380216584669963,0.562588081431033,0.6680545552273327,172.49230774836755
B,12,0.5376623194762383,0.5607973114768071,0.6654038285615143,168.89368222364737
B,13,0.5382445255357228,0.5696454408453472,0.6682755527504126,188.0097996346393
B,14,0.5383261561058881,0.5582563663596538,0.667845075677892,170.1732280977923
B,15,0.5362626715992274,0.5646571975145767,0.669613929550709,171.4747939987562
B,16,0.5374991601326046,0.5587851849954519,0.654844287897851,167.42892835626554
B,17,0.5406896204091189,0.5619913468609995,0.6696847618549462,187.05090149836755
B,18,0.5362143142616258,0.5604230610292349,0.6699377474574535,174.832422360852
B,19,0.5370255827010794,0.607577730025818,0.6682352873233973,188.06767675295396
B,20,0.5364559153269293,0.5660742579111412,0.6689436515675296,187.90026187422262
B,1,0.09032867420774322,0.13298532068242888,0.9377834467118134,26.27196536847015
B,2,0.03808202910540479,0.1349914085194677,0.9411719418041284,21.215605322994403
B,3,0.03485237030039475,0.11715356715122557,0.9463374468224499,21.83671729244403
B,4,0.025674194360434423,0.11955967959652503,0.9493362752691543,23.285044504042286
B,5,0.02268378158784598,0.10045849481022416,0.95184439221383,19.28395072974969
B,6,0.019017684275656328,0.1107638422198856,0.951980736839397,17.988743416705535
B,7,0.019685766503502823,0.10226543196702877,0.9539283115051034,17.903829849774564
B,8,0.014893189382668296,0.09457983019179231,0.9565269717047199,15.33973382598725
B,9,0.016959380086283612,0.10561642172056122,0.9531475059055197,17.642275074821207
B,10,0.01345249060763349,0.09754956214047565,0.957783393598895,15.770570973258705
B,11,0.014190618111273723,0.09067494536522183,0.9561088841687438,17.502741419853855
B,12,0.01310673578196377,0.10283836058225637,0.9589883880808012,15.064850916316853
B,13,0.010538404213653943,0.089199153929787,0.959541390600429,14.666570710898633
B,14,0.010322937141411578,0.09171451279744089,0.9589099448016047,16.01703761466107
B,15,0.011863376820353247,0.09111900545655378,0.9571848355124565,14.323707390780472
B,16,0.012423399876299184,0.07665059916074715,0.963444030198103,13.287468905472636
B,17,0.01125607449665871,0.07717691984448856,0.9616097656901718,13.68655319593439
B,18,0.007261331004913067,0.07652085427081323,0.9632861243346857,13.471385139731032
B,19,0.007530945503314068,0.08016801457119642,0.9635209803860189,13.799238062616604
B,20,0.01080802804660996,0.0778961544053834,0.9638883351454219,13.447851683962998
