stage,epoch,train_loss,val_joint,val_iou,val_mae
C1,1,0.6544329232714149,0.7612568611529336,0.9268994139719352,34.25004311936412
C1,2,0.646783715832546,0.7565125329280967,0.9259647824086127,34.826278762437816
C1,3,0.6553886239225052,0.7571722389157138,0.9262268741049177,34.75295033620957
C1,4,0.64645908142297,0.7539307568500291,0.9271921708156494,33.01817572294776
C1,5,0.642489531234409,0.7628476112636168,0.925319233646857,34.99958459654851
C1,6,0.6420018904552924,0.7545177691908025,0.9263232238376633,35.065667147660136
C1,7,0.6306317074133663,0.7584413414570823,0.9266917466666984,34.83067693757774
C1,8,0.6436612723248728,0.7565786224692616,0.9258391515766581,34.86647390488961
C1,9,0.6387047465709265,0.7507491854589377,0.9280552471515915,33.81441182758084
C1,10,0.6339232231235683,0.7501315665778829,0.9284820906982085,33.24873799945584
